ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-16-000183	1	ITFT (Innovative Technology for Transportation)	Matthew Godley	Founder & CEO
0001693084-16-000001	1	UpCurrent, Inc.	Victor A. Montoya	Manager
0001665160-16-000180	1	Gotham Ballers Inc	Mark Aguirre	President & Director
0001685751-16-000001	1	WOLFPRINT 3D INC	Timmu Toke	Principal Executive Officer
0001684321-16-000003	1	Italian Cafe, LLC	Christy J. Jepson	Manager
0001684321-16-000001	1	Italian Cafe, LLC	Chris Jepson	Manager
0001692818-16-000003	1	Safety First Arms, Inc.	Victor A. Montoya	Manager
0001669191-16-000083	1	Kindred Brands Inc.	Andy Fox	Principal Executive Officer
0001213900-16-019667	1	Snapwire Media, Inc.	Chad Newell	CEO
0001690794-16-000001	1	StressPal, Inc.	Victor A. Montoya	Manager
0001611945-16-000005	1	Art Craft Entertainment, Inc.	/s/ J. TODD COLEMAN	CEO
0001670254-16-000236	1	Ridgemont Outfitters, Inc.	A Hall	CEO
0001680041-16-000004	1	Maternova, Inc.	Margaret E. Wirth	CEO
0001670254-16-000235	1	VoiceVoice, Inc. dba MaestroConference	Brian Burt	Founder & President
0001679373-16-000008	1	Farm From a Box Inc.	Scott Stewart Thompson	President
0001682697-16-000005	1	Alive Global Water, Inc.	dexroy donaldson	PRESIDENT
0001677843-16-000003	1	VG Smartglass LLC	Mike Stacey	CEO
0001670254-16-000232	1	Magic Instruments, Inc.	Brian Fan	CEO and President
0001670254-16-000234	1	Sour Rice, LLC	Jamison Wiggins	Owner
0001665160-16-000175	1	InGen Dynamics, Inc.	Arshad Hisham	Founder, CEO
0001664526-16-000009	1	Play Impossible Corp	/s/Brian Monnin	CEO
0001669191-16-000080	1	Court Innovations Incorporated	MJ Cartwright	Principal Executive Officer
0001691774-16-000001	1	Texas Zebo, LLC	John Long	Managing Partner
0001670254-16-000229	1	Somogyi AgTech LLC dba Anikona Farm	Aniko M. Somogyi	Founder
0001682864-16-000008	1	Lion International Consulting, Inc.	dexter dixon	PRESIDENT
0001665160-16-000172	1	Better World Spirits	Wade Keech	THE PHILANTHROPIC SPIRIT
0001670254-16-000225	1	Brilliant & Precise LLC	Rashaan Everett	CEO
0001670254-16-000223	1	Fun-gi Games LLC	Alfred Fung	CEO
0001669191-16-000074	1	Lawrence Hunt Fashion, Inc.	Jeffrey Schattner	Principal Executive Officer
0001691341-16-000008	1	Damsel Productions LLC	/s/ Megan Summers	Manager
0001691341-16-000006	1	Damsel Productions LLC	/s/ Megan Summers	Manager
0001670254-16-000218	1	Haint Blue Brewing Company LLC	Keith W Sherrill	CEO
0001690909-16-000003	1	Ellison Eyewear, Inc	Aristotle Loumis	Chief Executive Officer
0001688437-16-000007	1	Eve Fund 1, LLC.	Gregory Parker	CEO / Managing Member
0001690909-16-000001	1	Ellison Eyewear, Inc.	Aristotle Loumis	Chief Executive Officer
0001680454-16-000006	1	Swaggle Inc.	/s/ Yue Niu	CEO, Director
0001665160-16-000170	1	Vanguard Moto Inc.	Francois-Xavier Terny	CEO
0001144204-16-137950	1	StarringClaraBow, Inc.	/s/ Barry Fasman	CEO
0001670254-16-000217	1	Airbitz, Inc.	Paul Puey	CEO
0001684715-16-000003	1	Sugar Refinery, LLC	Amrita Karnani	Manager
0001686564-16-000003	1	LGBT Weddings, Inc.	Kimberly Vaughan	President & CEO
0001670254-16-000216	1	Everipedia, Inc.	Mahbod Moghadam	President
0001665160-16-000168	1	LRF Thoroughbred Fund LLC	William Koch	Founder and Managing Partner
0001665160-16-000167	1	Snapwire Media, Inc.	Chad Newell	CEO
0001691448-16-000001	1	Barber Surgeons Inc.	Dr. Justin Rome	Principal Executive Officer
0001670254-16-000214	1	Niveau Brands, Inc.	Elliott Johnson	CEO
0001670254-16-000213	1	MOBODEXTER INC	Chandramouli Srinivasan	CoFounder, CEO & President
0001686564-16-000001	1	LGBT Weddings, Inc.	Kimberly Vaughan	President & CEO
0001670254-16-000211	1	ClimateStore Inc.	Steven E. Bushnell	President, ClimateStore Inc.
0001670254-16-000209	1	Intentional Offerings, Inc. DBA Bolder Band	Amy L. Crouse	President
0001670254-16-000208	1	Shape Labs Inc.	Alexandre Wayenberg	CEO
0001690216-16-000001	1	Bronzebuck LLC	Alan Levin	Managing Partner
0001670254-16-000207	1	Proof of Concept, LLC	Joshua E Morton	President
0001665160-16-000165	1	Lincoln & Grant	David M. Rich	Founder & CEO
0001597895-16-000003	1	Traveling Spoon	Stephanie Lawrence	Co-Chief Executive Officer
0001670254-16-000206	1	Shape Labs Inc.	Alexandre Wayenberg	CEO
0001689502-16-000002	1	Next Minute, Inc.	Rolv E. Heggenhougen	CEO
0001688545-16-000003	1	Campagna Motors USA Inc.	Andre Morissette	Chief Executive Officer and Director
0001670254-16-000205	1	TAXA Biotechnologies Inc	Antony Evans	CEO
0001665160-16-000160	1	GolfBoard	Don Wildman	Co-Founder
0001685706-16-000005	1	Two A&H Entertainment, LLC	Hugo Gamboa	Manager
0001670254-16-000203	1	Powell Development Group, Inc.	Charles Powell	President, CEO
0001665160-16-000152	1	Green Sense Farms, LLC	Robert Colangelo	CEO and Founding Farmer
0001670254-16-000201	1	Hopster's LLC	lee cooper	ceo
0001684570-16-000008	1	KAIDEN, INC.	kencle windross	PRESIDENT
0001684570-16-000007	1	MIZAYA INC.	kencle windross	PRESIDENT
0001684570-16-000006	1	MIZAYA INC.	kencle windross	PRESIDENT
0001144204-16-135022	1	WORTHPOINT Corp	/s/ William Seippel	Chief Executive Officer
0001674421-16-000012	1	Bloomery Investment Holdings, LLC	Linda Losey	Chief Operating Officer
0001688545-16-000002	1	Campagna Motors USA Inc.	Andre Morissette	CEO
0001597895-16-000001	1	Traveling Spoon	Stephanie Lawrence	Co-Chief Executive Officer
0001670254-16-000200	1	CrowdMed, Inc.	Jared Heyman	CEO
0001665160-16-000150	1	Jetpack Aviation	David Maymen	CEO
0001669760-16-000095	1	iDisclose Test	Georgia Quinn	CEO
0001690042-16-000004	1	BeatStars Inc.	Ibrahim Batshon	CEO
0001690042-16-000001	1	BeatStars Inc.	Ibrahim Batshon	CEO
0001664526-16-000003	1	Play Impossible Corporation	Brian Monnin	CEO
0001689758-16-000001	1	Ocean Entertainment, Inc	Richard A Heaton	CEO
0001664526-16-000005	1	Republic Restoratives LLC	Pia Carusone	Owner
0001670254-16-000198	1	Scrap Connection, Inc.	Chris Yerbey	CEO
0001144204-16-134497	1	StarringClaraBow, Inc.	/s/ Gene Massey	CFO
0001664526-16-000007	1	ArtCraft Entertainment, Inc.	Jeffrey Todd Coleman	Chief Executive Officer & Secretary
0001681345-16-000004	1	Colin Holdings, Corp	PAUL U DESIR	PRESIDENT
0001682664-16-000006	1	TASEAH DEVELOPMENT CORP	James E. Ward Jr	President/CEO
0001682664-16-000005	1	TASEAH DEVELOPMENT CORP	James E. Ward Jr	President/CEO
0001682664-16-000004	1	TASEAH DEVELOPMENT CORP	James E. Ward Jr	President/CEO
0001670254-16-000196	1	Shape Labs Inc.	Alexandre Wayenberg	CEO
0001670254-16-000197	1	Subsector Solutions Corporation	Eric Fulton	CEO
0001670254-16-000193	1	SlingFin, Inc.	Martin Zemitis	President
0001669191-16-000062	1	Kindred Brands Inc.	Andy Fox	Principal Executive Officer
0001670254-16-000195	1	Urban Juncture, Inc.	Bernard Loyd	President
0001670254-16-000192	1	Kibin, Inc.	Travis Biziorek	CEO
0001670254-16-000191	1	Kibin, Inc.	Travis Biziorek	CEO
0001670254-16-000190	1	Kibin, Inc.	Travis Biziorek	CEO
0001670254-16-000189	1	My Trail Company, PBC	Demetri Coupounas	CEO
0001670254-16-000187	1	Adventure Clubs Inc.	Jedd Schroy	CEO
0001685501-16-000008	1	New Media, Inc.	Shenghua Hong	President/CEO
0001625242-16-000175	1	BYS Daily	/s/ Ryan Huss	COO
0001677548-16-000005	1	Housebook, Inc	Yanli Gong	CEO
0001647869-16-000005	1	RaceYa, Inc.	Abigail Edgecliffe-Johnson	Chief Executive Officer
0001684570-16-000005	1	MIZAYA INC.	Kencle Windross	President
0001682883-16-000004	1	NAMA-J Farms Inc	Henry Johnson	President
0001682385-16-000002	1	Red Empire Real Estate Investments, Inc	Patrick Noel	Co-CEO
0001682495-16-000011	1	Online Portal, Inc.	Patrick Noel	President
0001685501-16-000007	1	New Media, Inc.	Shenghua Hong	President/CEO
0001670254-16-000186	1	One Technologies, Inc.	William Bonhorst	CEO
0001670254-16-000185	1	My Trail Company, PBC	Demetri Coupounas	CEO
0001670254-16-000184	1	Discotech, Inc.	Jeffrey Ian Chen	CEO
0001670254-16-000183	1	VetPronto - Mobile Veterinarians Inc.	Joe Waltman	CEO
0001688437-16-000006	1	Eve Fund 1, LLC.	Gregory Parker	CEO / Managing Member
0001688437-16-000004	1	Eve Fund 1, LLC.	Gregory Parker	CEO / Managing Member
0001683264-16-000003	1	Kayak Concepts LLC	Buddy Doyle	President
0001677548-16-000004	1	Housebook, Inc	Yanli Gong	CEO
0001665160-16-000142	1	Organiponic, Inc.	Andrew Dewey	CEO/CFO
0001670254-16-000182	1	EveryFit, Inc.	Sombit Mishra	CEO
0001665160-16-000141	1	Green Sense Farms, LLC	Robert Colangelo	CEO and Founding Farmer
0001680454-16-000005	1	Swaggle Inc.	/s/ Yue Niu	CEO, Director
0001688226-16-000002	1	Coal Diva LLC	Tawni O'Dell	Co-Managing Member
0001687197-16-000002	1	Bluurp, Inc	Victor Montoya	Manager
0001677351-16-000004	1	Salon de Lingerie, LLC	/s/ Alfonso J. Cervantes	CEO
0001670254-16-000180	1	Pro Material Solutions Inc.	Jerry Freeman	President
0001683856-16-000003	1	ALUGUEST, INC.	/s/ Gabriel D. Bourie Corneille	President, CEO
0001688437-16-000003	1	Eve Fund 1, LLC.	Gregory Parker	CEO / Managing Member
0001670254-16-000176	1	Sour Rice, LLC	Jamison Wiggins	Owner
0001670254-16-000178	1	South Austin Beer Partners, LLC dba South Austin Brewery	Martyn Buffler	Manager
0001679373-16-000006	1	Farm From a Box Inc.	Scott Stewart Thompson	President
0001688072-16-000005	1	GOODMEETS, INC	Eve Peters	President and CEO
0001688072-16-000003	1	Goodmeets, Inc.	Eve Peters	President and CEO
0001688129-16-000001	1	KaZoom Kids Books, Inc	Donna R Beasley	President
0001682664-16-000003	1	TASEAH DEVELOPMENT CORP	James E. Ward Jr	President/CEO
0001670254-16-000172	1	Do., LLC	Heather McDougall	co-founder/CEO
0001670254-16-000173	1	Airbitz, Inc.	Paul Puey	CEO
0001670254-16-000175	1	Proof of Concept, LLC	Joshua E Morton	President
0001684628-16-000004	1	KAIDEN, INC.	kencle windross	President
0001682864-16-000007	1	Lion International Consulting, Inc.	Dexter Dixon	President
0001679372-16-000009	1	Youngry, LLC	Ash Kumra	President
0001684568-16-000004	1	PRESTIGE VISION, INC	ERROL HARVEY	President
0001685112-16-000007	1	Florida Equity Fund Inc	Eric Johnson	President
0001684570-16-000004	1	MIZAYA INC.	Kencle Windross	President
0001684463-16-000002	1	PRESTIGE VISION, INC	ERROL HARVEY	PRESIDENT
0001682495-16-000010	1	Online Portal, Inc.	Patrick Noel	President
0001682883-16-000003	1	NAMA-J Farms Inc	Henry N Johnson	President
0001682385-16-000001	1	Red Empire Real Estate Investments, Inc	Uriel Ortiz	President
0001684570-16-000003	1	MIZAYA INC.	Kencle Windross	President
0001681345-16-000003	1	Colin Holdings, Corp	paul desir	president
0001670254-16-000171	1	Cleveland Whiskey LLC	Tom Lix	CEO
0001670254-16-000167	1	Sam Lee Laundry LLC	David Gluck	Managing Member
0001670254-16-000168	1	CrowdMed, Inc.	Jared Heyman	CEO
0001670254-16-000170	1	Cleveland Whiskey LLC	Tom Lix	CEO
0001670254-16-000165	1	Evolution Spirits, Inc.	Ian m crystal	Ceo
0001682240-16-000002	1	Collective HTX, LLC	Thuy-My Luong	Chief Executive Officer
0001445866-16-002763	1	Daplie, Inc.	Bryson Hill	Chief Executive Officer
0001685501-16-000005	1	New Media, Inc.	Shenghua Hong	President/CEO
0001685501-16-000004	1	New Media, Inc.	Shenghua Hong	President/CEO
0001670254-16-000161	1	Magic Instruments, Inc.	Brian Fan	CEO
0001670254-16-000160	1	Exemplars Inc.	Timothy M. O'Connor	CEO
0001685501-16-000003	1	New Media, Inc.	Shenghua Hong	President
0001670254-16-000163	1	EVELO, Inc.	Boris Mordkovich	CEO
0001680153-16-000003	1	Yokal Productions II Inc.	Christopher Pappas	CEO
0001670254-16-000158	1	LiquidPiston, Inc.	Alexander Shkolnik	President
0001670254-16-000154	1	Ohos, Inc.	David A Needham	CEO
0001670254-16-000155	1	Red Bay Coffee Company	keba konte	founder ceo
0001670254-16-000156	1	Tampon Tribe	Jennifer Eden	CEO
0001678208-16-000007	1	Uncensored Freedom Inc	Kent Hachmeister	CEO
0001670254-16-000153	1	MOBODEXTER INC	Chandramouli Srinivasan	CoFounder, CEO and President
0001684972-16-000003	1	Flying Nun Collective, LLC	Jessica Hughes	Manager
0001062993-16-011751	1	Mardi Gras A Musical, LLC	/s/ James H. Kilroy	Manager
0001674421-16-000011	1	Bloomery Investment Holdings, LLC	Linda S. Losey	Member and COO
0001445866-16-002753	1	Daplie, Inc.	Bryson Hill	Chief Executive Officer
0001680041-16-000003	1	Maternova, Inc.	Margaret E. Wirth	CEO
0001677548-16-000003	1	Housebook, Inc	Yanli Gong	President
0001684628-16-000003	1	KAIDEN, INC.	kencle windross	PRESIDENT
0001684628-16-000002	1	KAIDEN, INC.	kencle windross	PRESIDENT
0001670254-16-000152	1	Hops and Grain Production, LLC	Josh Hare	Founder & CEO
0001683856-16-000001	1	ALUGUEST, INC.	/s/ Gabriel D. Bourie Corneille	President, CEO
0001644600-16-000201	1	Primo Connect, Inc.	David Glickman	CEO
0001670254-16-000151	1	Discotech, Inc.	Jeffrey Ian Chen	CEO
0001665160-16-000134	1	Baqua Inc.	Sandra Marlowe	CEO
0001670254-16-000150	1	Exemplars Inc.	Timothy M. O'Connor	CEO
0001665160-16-000131	1	investFeed Inc.	Ronald Chernesky	CEO
0001670254-16-000148	1	Thisisground Holdings, Inc.	Michael Macadaan	CEO
0001670254-16-000149	1	Do., LLC	Heather McDougall	co-founder/CEO
0001670254-16-000147	1	Ohos, Inc.	David A Needham	CEO
0001670254-16-000145	1	VoiceVoice, Inc. dba MaestroConference	Brian Burt	C.E.O. & President
0001669191-16-000060	1	Lawrence Hunt Fashion, Inc.	Jeffrey Schattner	Principal Executive Officer
0001684568-16-000002	1	PRESTIGE VISION, INC	ERROL HARVEY	PRESIDENT
0001665160-16-000130	1	investFeed Inc.	Ronald Chernesky	CEO
0001647869-16-000004	1	RaceYa, Inc.	Abigail Edgecliffe-Johnson	Chief Executive Officer
0001669191-16-000057	1	Lawrence Hunt Fashion, Inc.	Jeffrey Schattner	Principal Executive Officer
0001644600-16-000196	1	WOLFPRINT 3D INC	Timmu Toke	Principal Executive Officer
0001670254-16-000144	1	Exemplars Inc.	Timothy M. OConnor	CEO
0001670254-16-000143	1	Do., LLC	Heather McDougall	co-founder/CEO
0001670254-16-000142	1	EveryFit, Inc.	Sombit Mishra	CEO
0001670254-16-000141	1	Ohos, Inc.	David A Needham	co-founder/CEO
